date,season,country,league,team1,team2,home,draw,away,over,under,yes,no,link,result,amount,both
16.12.2016,2016,argentina,copa-argentina-2016,River Plate,Rosario Central,2.26,3.0,3.85,2.66,1.54,2.19,1.74,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/river-plate-rosario-central-KM6mwoJ2/,1,7,1
20.10.2016,2016,argentina,copa-argentina-2016,Racing Club,Gimnasia L.P.,1.9,3.11,4.62,2.49,1.53,2.03,1.76,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/racing-club-gimnasia-l-p-2czF3PDC/,2,1,0
03.11.2016,2016,argentina,copa-argentina-2016,Rosario Central,Boca Juniors,4.03,2.89,2.14,2.61,1.56,2.09,1.73,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/rosario-central-boca-juniors-QLCzpsZD/,1,3,1
06.10.2016,2016,argentina,copa-argentina-2016,Belgrano,CDJU Gualeguaychu,1.58,3.6,6.61,2.50,1.54,2.41,1.56,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/ca-belgrano-de-cordoba-juventud-unida-gualeguaychu-SWcsmhB5/,1,2,0
02.12.2016,2016,argentina,copa-argentina-2016,River Plate,Gimnasia L.P.,1.73,3.54,5.9,2.57,1.57,2.2,1.63,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/river-plate-gimnasia-l-p-ChLClAnP/,1,2,0
13.10.2016,2016,argentina,copa-argentina-2016,Godoy Cruz,San Lorenzo,4.36,3.31,1.87,2.43,1.56,2.11,1.71,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/godoy-cruz-san-lorenzo-G0vJ2qTI/,2,4,1
22.09.2016,2016,argentina,copa-argentina-2016,River Plate,Arsenal Sarandi,1.59,3.88,6.75,2.14,1.77,1.99,1.8,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/river-plate-arsenal-sarandi-trn65oq0/,1,1,0
21.09.2016,2016,argentina,copa-argentina-2016,Deportivo Moron,Rosario Central,5.3,4.26,1.64,2.08,1.82,2.03,1.78,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/deportivo-moron-rosario-central-ziAmcJyC/,2,2,0
28.10.2016,2016,argentina,copa-argentina-2016,River Plate,Union de Santa Fe,1.62,3.58,6.5,2.30,1.68,2.1,1.66,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/river-plate-union-de-santa-fe-ltawlYea/,1,3,0
01.12.2016,2016,argentina,copa-argentina-2016,Belgrano,Rosario Central,3.91,2.89,2.23,3.14,1.38,2.25,1.62,https://www.oddsportal.com/soccer/argentina/copa-argentina-2016/ca-belgrano-de-cordoba-rosario-central-E17vpUft/,2,2,0
